id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
04030622,6065.0,253.0,1471.0,2131.0,1470.0,542.0,126.0,611.0,19545.0,4279.0,414.0,4115.0,5851.0,8.0,14.0,1.0,1.0,2.0,405.0,4100.0,5841.0
04030623,3105.0,336.0,723.0,1025.0,659.0,237.0,101.0,177.0,9461.0,2121.0,150.0,2035.0,2966.0,4.0,4.0,1.0,2.0,2.0,145.0,2029.0,2960.0
04030724,3450.0,149.0,599.0,1227.0,793.0,398.0,186.0,743.0,12049.0,2829.0,209.0,2734.0,3344.0,5.0,9.0,5.0,7.0,10.0,199.0,2718.0,3329.0
04030725,6347.0,366.0,1066.0,2014.0,1641.0,776.0,303.0,1425.0,22227.0,5250.0,409.0,5044.0,6039.0,5.0,3.0,4.0,7.0,8.0,400.0,5035.0,6026.0
04030726,3096.0,183.0,520.0,925.0,752.0,440.0,200.0,695.0,11101.0,2652.0,163.0,2543.0,2990.0,1.0,2.0,0.0,0.0,0.0,162.0,2541.0,2989.0
04030827,6487.0,495.0,1404.0,2174.0,1666.0,519.0,156.0,575.0,20595.0,4620.0,393.0,4378.0,6186.0,7.0,5.0,2.0,2.0,4.0,384.0,4371.0,6175.0
04030828,5539.0,330.0,1154.0,1769.0,1274.0,619.0,258.0,1035.0,18719.0,4458.0,372.0,4307.0,5387.0,7.0,7.0,4.0,9.0,8.0,361.0,4290.0,5372.0
04030929,3330.0,80.0,520.0,957.0,941.0,448.0,225.0,1262.0,12607.0,3077.0,232.0,2947.0,3203.0,18.0,27.0,2.0,4.0,4.0,212.0,2915.0,3181.0
04030930,3378.0,123.0,487.0,904.0,896.0,505.0,295.0,1332.0,13020.0,3449.0,212.0,3128.0,3103.0,6.0,8.0,2.0,4.0,4.0,204.0,3116.0,3093.0
04030931,2042.0,50.0,310.0,685.0,522.0,250.0,109.0,956.0,7673.0,1956.0,99.0,1537.0,1656.0,1.0,5.0,3.0,4.0,6.0,95.0,1528.0,1649.0
04031032,8759.0,435.0,1585.0,3157.0,2027.0,946.0,385.0,1714.0,29938.0,6966.0,591.0,6805.0,8603.0,5.0,5.0,7.0,15.0,14.0,579.0,6786.0,8584.0
04041133,39.0,0.0,3.0,18.0,11.0,0.0,0.0,70.0,174.0,51.0,18.0,51.0,39.0,6.0,11.0,9.0,26.0,18.0,3.0,15.0,15.0
04041134,2758.0,230.0,427.0,593.0,604.0,403.0,241.0,2269.0,11009.0,2985.0,779.0,2899.0,2625.0,390.0,716.0,82.0,254.0,164.0,307.0,1929.0,2071.0
04041135,1558.0,32.0,127.0,404.0,376.0,240.0,142.0,2121.0,7175.0,2046.0,539.0,1905.0,1439.0,307.0,660.0,45.0,136.0,90.0,187.0,1109.0,1042.0
04041136,1763.0,81.0,179.0,432.0,423.0,287.0,149.0,1913.0,7669.0,2158.0,541.0,2103.0,1727.0,253.0,492.0,57.0,168.0,114.0,231.0,1443.0,1360.0
